Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team
AJ Tye,14,14,56,0,448,24,Apr-16,18.66,8,14,3,0,KXIP
Rashid Khan,17,17,68,2,458,21,Mar-19,21.8,6.73,19.4,0,0,SRH
S Kaul,17,17,66,0,547,21,Mar-23,26.04,8.28,18.8,0,0,SRH
UT Yadav,14,14,53.1,1,418,20,Mar-23,20.9,7.86,15.9,0,0,RCB
HH Pandya,13,13,42.4,0,381,18,Mar-24,21.16,8.92,14.2,0,0,MI
TA Boult,14,14,52.4,1,466,18,Feb-20,25.88,8.84,17.5,0,0,DD
JJ Bumrah,14,14,54,0,372,17,Mar-15,21.88,6.88,19,0,0,MI
Kuldeep Yadav,16,16,51.2,0,418,17,Apr-20,24.58,8.14,18.1,1,0,KKR
SP Narine,16,16,61,0,467,17,Mar-18,27.47,7.65,21.5,0,0,KKR
SN Thakur,13,13,46.4,1,431,16,Feb-18,26.93,9.23,17.5,0,0,CSK
JC Archer,10,10,38.5,0,325,15,Mar-22,21.66,8.36,15.5,0,0,RR
M Markande,14,14,44,0,368,15,Apr-23,24.53,8.36,17.6,1,0,MI
Mujeeb Ur Rahman,11,11,41.2,0,289,14,Mar-27,20.64,6.99,17.7,0,0,KXIP
MJ McClenaghan,11,11,40,0,332,14,Feb-22,23.71,8.3,17.1,0,0,MI
PP Chawla,15,15,49,0,412,14,Mar-48,29.42,8.4,21,0,0,KKR
Shakib Al Hasan,17,17,57,0,456,14,Feb-18,32.57,8,24.4,0,0,SRH
DJ Bravo,16,16,53.3,1,533,14,Feb-16,38.07,9.96,22.9,0,0,CSK
AD Russell,16,15,37.5,0,355,13,Mar-31,27.3,9.38,17.4,0,0,KKR
A Mishra,10,10,37,1,264,12,Mar-19,22,7.13,18.5,0,0,DD
KH Pandya,14,13,40.1,0,284,12,Mar-28,23.66,7.07,20,0,0,MI
Sandeep Sharma,12,12,44,0,333,12,Feb-17,27.75,7.56,22,0,0,SRH
YS Chahal,14,14,50,1,363,12,Feb-22,30.25,7.26,25,0,0,RCB
L Ngidi,7,7,26,2,156,11,04-Oct,14.18,6,14.1,1,0,CSK
AS Rajpoot,8,8,26.1,1,223,11,May-14,20.27,8.52,14.2,0,1,KXIP
S Gopal,11,10,31,0,236,11,Apr-16,21.45,7.61,16.9,1,0,RR
RA Jadeja,16,14,41,0,303,11,Mar-18,27.54,7.39,22.3,0,0,CSK
K Gowtham,15,15,40,0,312,11,02-Dec,28.36,7.8,21.8,0,0,RR
Mohammed Siraj,11,11,41,0,367,11,Mar-25,33.36,8.95,22.3,0,0,RCB
JD Unadkat,15,15,50.2,0,486,11,Mar-46,44.18,9.65,27.4,0,0,RR
M Prasidh Krishna,7,7,28,0,260,10,Apr-30,26,9.28,16.8,1,0,KKR
DL Chahar,12,12,38.1,1,278,10,Mar-15,27.8,7.28,22.9,0,0,CSK
R Ashwin,14,14,50.4,0,410,10,Feb-18,41,8.09,30.4,0,0,KXIP
B Laughlin,7,7,20.5,0,211,9,Feb-15,23.44,10.12,13.8,0,0,RR
B Kumar,12,12,46.1,1,354,9,Mar-26,39.33,7.66,30.7,0,0,SRH
CR Woakes,5,5,18.2,0,190,8,Mar-36,23.75,10.36,13.7,0,0,RCB
BA Stokes,13,12,37,1,303,8,Mar-15,37.87,8.18,27.7,0,0,RR
HV Patel,5,5,17.3,0,167,7,Mar-28,23.85,9.54,15,0,0,DD
Mustafizur Rahman,7,7,27.3,0,230,7,Mar-24,32.85,8.36,23.5,0,0,MI
Harbhajan Singh,13,12,31.5,0,270,7,Feb-22,38.57,8.48,27.2,0,0,CSK
MM Sharma,9,9,29.4,0,322,7,Feb-33,46,10.85,25.4,0,0,KXIP
TK Curran,5,5,10.1,0,118,6,Feb-19,19.66,11.6,10.1,0,0,KKR
R Tewatia,8,8,22,0,173,6,Mar-18,28.83,7.86,22,0,0,DD
Imran Tahir,6,6,20.4,0,188,6,Feb-34,31.33,9.09,20.6,0,0,CSK
SR Watson,15,11,28,0,251,6,Feb-29,41.83,8.96,28,0,0,CSK
