Num,Match,Team,Win,Score,Overs,Wkts,Four,Six,legby,bye,Noball,Wide,CaptainRuns,CaptainWkts,CaptainCatches,,
1,1,MI,0,165,20,9,18,5,2,0,1,4,15,0,0,,4
1,1,CSK,1,169,19.5,4,11,10,2,0,0,2,5,0,1,,
2,2,DD,0,166,20,4,11,5,0,0,1,0,55,0,0,,
2,2,KXIP,1,167,18.5,7,16,7,1,1,1,3,0,1,0,,
3,3,RCB,0,176,20,6,14,10,3,0,0,10,31,0,0,,
3,3,KKR,1,177,18.5,7,15,9,1,0,0,5,35,0,0,,
4,4,RR,0,125,20,1,12,0,0,4,1,3,13,0,0,,
4,4,SRH,1,127,15.5,9,17,2,3,0,0,5,36,1,0,,
5,5,KKR,0,202,20,5,11,17,3,0,1,3,26,0,1,,
5,5,CSK,1,205,19.5,6,9,14,1,1,0,3,25,0,1,,
6,6,DD,0,60,6,5,8,2,1,0,0,2,0,0,0,,
6,6,RR,1,153,20,4,11,6,1,0,0,1,45,0,0,,
7,7,MI,0,147,20,9,15,6,3,0,0,1,11,0,1,,
7,7,SRH,1,151,20,8,18,1,4,0,1,3,6,0,1,,
8,8,KXIP,0,155,20,6,12,6,3,0,0,1,33,2,0,,
8,8,RCB,1,159,20,10,16,5,3,0,0,3,21,0,0,,
9,9,MI,0,194,20,3,19,7,1,0,0,1,18,0,1,,
9,9,DD,1,195,20,7,18,10,5,0,0,5,15,0,0,,
10,10,KKR,0,138,20,5,12,4,0,0,0,5,29,0,1,,
10,10,SRH,1,139,19,8,14,3,2,0,2,3,50,0,0,,
11,11,RCB,0,198,20,4,20,7,2,4,2,6,57,0,0,,
11,11,RR,1,217,20,6,14,14,1,2,0,3,36,0,0,,
12,12,CSK,0,193,20,7,15,8,0,0,0,1,79,0,2,,
12,12,KXIP,1,197,20,5,19,9,2,0,0,11,14,2,1,,
13,13,DD,0,129,14.2,9,13,5,4,0,0,2,8,0,1,,
13,13,KKR,1,200,20,10,14,15,3,0,0,5,19,0,0,,
14,14,RCB,0,167,20,6,12,7,1,0,0,16,92,0,0,,
14,14,MI,1,213,20,8,18,13,2,1,1,3,94,0,1,,
15,15,RR,0,160,20,3,15,4,1,0,0,2,36,0,0,,
15,15,KKR,1,163,18.5,8,15,6,1,0,1,3,42,1,0,,
16,16,SRH,0,178,20,3,11,5,5,0,0,3,54,0,0,,
16,16,KXIP,1,193,20,4,10,14,2,0,1,10,0,0,0,,
17,17,RR,0,140,18.3,5,10,3,0,0,1,5,16,0,0,,
17,17,CSK,1,204,20,10,25,6,0,0,0,8,5,0,2,,
18,18,KKR,0,191,20,1,21,5,0,0,0,2,43,0,0,,
18,18,KXIP,1,126,11.1,7,14,8,1,0,1,7,0,1,0,,
19,19,DD,0,174,20,4,13,10,1,0,0,3,3,0,0,,
19,19,RCB,1,176,18,5,14,9,9,0,0,3,30,0,0,,
20,20,SRH,0,178,20,3,9,12,0,0,0,4,84,0,0,,
20,20,CSK,1,182,20,6,18,8,0,0,0,2,25,0,0,,
21,21,MI,0,167,20,7,13,7,0,0,2,4,0,0,0,,
21,21,RR,1,168,19.4,7,14,3,1,0,1,3,14,1,0,,
22,22,DD,0,139,20,8,11,3,8,1,0,5,4,0,0,,
22,22,KXIP,1,143,20,8,12,2,0,0,0,0,6,1,0,,
23,23,MI,0,87,18.5,10,10,1,4,0,0,8,2,0,1,,
23,23,SRH,1,118,20,10,13,1,0,0,0,0,29,0,0,,
24,24,RCB,0,205,20,5,9,16,2,0,1,8,18,0,0,,
24,24,CSK,1,207,19.4,10,9,17,0,4,0,4,70,1,0,,
25,25,KXIP,0,119,19.2,6,9,4,1,1,1,5,4,0,1,,
25,25,SRH,1,132,20,10,11,2,1,1,0,0,0,0,1,,
26,26,KKR,0,164,20,4,12,9,1,0,1,2,18,1,0,,
26,26,DD,1,219,20,9,15,16,4,0,0,3,93,0,1,1,
27,27,CSK,0,169,20,2,13,9,1,4,0,5,26,0,0,,
27,27,MI,1,170,19.4,5,14,6,3,0,0,4,56,0,0,,
28,28,SRH,1,151,20,6,15,2,1,0,0,0,63,0,0,,
28,28,RR,0,140,20,7,9,2,0,1,0,0,65,0,1,,
29,29,RCB,0,175,20,4,12,9,1,0,0,7,68,0,1,,
29,29,KKR,1,176,19.1,4,18,6,1,4,0,5,23,0,1,,
30,30,CSK,1,211,20,5,14,14,0,2,0,6,51,1,0,,
30,30,DD,0,198,20,4,15,11,1,1,1,3,13,0,0,,
31,31,RCB,1,167,20,7,10,11,0,0,0,0,32,0,1,,
31,31,MI,0,153,20,7,13,3,1,2,2,1,0,0,2,,
32,32,DD,1,196,20,5,16,13,0,1,0,3,50,0,0,,
32,32,RR,0,146,12,6,9,12,0,1,0,6,0,0,0,,
33,33,CSK,0,177,20,4,17,7,1,0,0,11,43,0,0,,
33,33,KKR,1,180,17.4,5,20,7,4,0,0,3,45,0,1,,
34,34,KXIP,0,174,20,4,10,11,4,0,0,2,0,0,0,,
34,34,MI,1,176,19,6,13,11,5,0,0,5,24,0,0,,
35,35,RCB,0,127,20,4,11,3,3,0,1,3,8,0,0,,
35,35,CSK,1,128,18,9,8,8,3,0,0,1,31,3,0,,
36,36,DD,0,163,20,3,11,6,0,0,1,5,44,0,0,,
36,36,SRH,1,164,19.5,5,9,7,1,0,0,2,32,0,0,,
